2018-04-13 16:42:05,274 [1] INFO  WebCrawler.Program - 文章采集系统开始...
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:26,274 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactNativeforAndroid异常处理概览??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:26,293 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React入门实例教程??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:26,334 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React第三方组件2(状态管理之Refast的使用③扩展ctx)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:26,527 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/milyoo/article/details/79006222
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:26,819 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/anxin_wang/article/details/79097574
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:27,255 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/gyf940349398/article/details/78916106
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:27,378 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React第三方组件1(路由管理之Router的使用③传参)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:52,866 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React学习笔记——Router（有待完善类比学习、页面路由与服务端路由部分）??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:53,295 [4] ERROR WebCrawler.DoMain.Crawler - 【React】采集异常,对一个或多个实体的验证失败。有关详细信息，请参阅“EntityValidationErrors”属性。
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:53,688 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React官方文档—1.安装??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:44:58,633 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/u013591043/article/details/79110583
 WebCrawler.DoMain.Crawlername2018-04-13 16:44:58,672 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React：组件的生命周期??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:44:59,090 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/Yana_li/article/details/79214792
 WebCrawler.DoMain.Crawlername2018-04-13 16:44:59,126 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:受控组件与非受控组件在React中没那么复杂［自译］??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:44:59,171 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React学习笔记（二）元素渲染??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:44:59,436 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/hezh1994/article/details/79147887
 WebCrawler.DoMain.Crawlername2018-04-13 16:44:59,482 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:【第1145期】打造高可靠与高性能的React同构解决方案??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:44:59,512 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactNative项目从0.28升级到0.29(iOS)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:44:59,781 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/zsp765098084/article/details/78887038
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:00,240 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:【ReactNative】一个简单的拆分Bundle&资源做法??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:00,293 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:在2017年学习React+Redux的一些建议（下篇）??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:00,318 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:reactnative学习笔记24——Modal实现自定义弹出对话框??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:00,725 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/zj20142213/article/details/79098949
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:00,786 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:react兼容ie8。。。??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:00,856 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:在2017年学习React+Redux的一些建议（上篇）??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:00,903 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:在2017年学习React+Redux的一些建议（中篇）??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:00,934 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React官方文档—4.元素渲染??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:01,172 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/G_ZZH/article/details/79225764
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:01,364 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/shiquanqq/article/details/53784893
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:01,809 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:react学习笔记2??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:01,830 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:Windows搭建React-native开发环境??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:01,867 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React学习笔记（一）安装和Hellow,world??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:01,888 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:react&&redux学习笔记（二）??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:01,937 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:vue、react等单页面项目应该这样子部署到服务器??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:45:01,962 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:react-weui组件的运用之上传图片控件的用法??-?CSDN博客
